Database,table,variable,modality_code,label
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,7343,Communauté urbaine
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,7344,Métropole
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,7345,Syndicat intercommunal à vocation multiple (SIVOM)
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,7346,Communauté de communes
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,7347,Communauté de villes
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,7348,Communauté d'agglomération
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,7349,Autre établissement public local de coopération non spécialisé ou entente
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,7351,Institution interdépartementale ou entente
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,7352,Institution interrégionale ou entente
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,7353,Syndicat intercommunal à vocation unique (SIVU)
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,7354,Syndicat mixte fermé
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,7355,Syndicat mixte ouvert
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,7356,Commission syndicale pour la gestion des biens indivis des communes
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,7357,Pôle d'équilibre territorial et rural (PETR)
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,7361,Centre communal d'action sociale
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,7362,Caisse des écoles
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,7363,Caisse de crédit municipal
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,7364,Établissement d'hospitalisation
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,7365,Syndicat inter hospitalier
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,7366,Établissement public local social et médico-social
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,7367,Centre Intercommunal d'action sociale (CIAS)
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,7371,Office public d'habitation à loyer modéré (OPHLM)
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,7372,Service départemental d'incendie et de secours (SDIS)
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,7373,Établissement public local culturel
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,7378,Régie d'une collectivité locale à caractère administratif
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,7379,(Autre) Établissement public administratif local
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,7381,Organisme consulaire
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,7382,Établissement public national ayant fonction d'administration centrale
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,7383,Établissement public national à caractère scientifique culturel et professionnel
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,7384,Autre établissement public national d'enseignement
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,7385,Autre établissement public national administratif à compétence territoriale limitée
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,7389,Établissement public national à caractère administratif
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,7410,Groupement d'intérêt public (GIP)
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,7430,Établissement public des cultes d'Alsace-Lorraine
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,7450,"Etablissement public administratif, cercle et foyer dans les armées"
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,7470,Groupement de coopération sanitaire à gestion publique
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,7490,Autre personne morale de droit administratif
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,8110,Régime général de la Sécurité Sociale
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,8120,Régime spécial de Sécurité Sociale
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,8130,Institution de retraite complémentaire
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,8140,Mutualité sociale agricole
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,8150,Régime maladie des non-salariés non agricoles
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,8160,Régime vieillesse ne dépendant pas du régime général de la Sécurité Sociale
