"Base Tous Salariés fichier Etablissements - 2021"





etab
"Fichier national « Établissements » enrichi, contenant des données 2021 par établissement, des données de niveau entreprise redescendues au niveau établissement et des données de niveau poste agrégées au niveau établissement"

"Nom de la variable";Libellé;Modalités
nbpna3112_cs45;"Nombre de postes non annexes au 31/12 pour la catégorie socioprofessionnelle 45 (Professions intermédiaires administratives de la fonction publique)";
nbpna3112_cs46;"Nombre de postes non annexes au 31/12 pour la catégorie socioprofessionnelle 46 (Professions intermédiaires administratives et commerciales des entreprises)";
nbpna3112_cs47;"Nombre de postes non annexes au 31/12 pour la catégorie socioprofessionnelle 47 (Techniciens (sauf techniciens tertiaires))";
nbpna3112_cs48;"Nombre de postes non annexes au 31/12 pour la catégorie socioprofessionnelle 48 (Contremaîtres, agents de maîtrise (maîtrise administrative exclue))";
nbpna3112_cs52;"Nombre de postes non annexes au 31/12 pour la catégorie socioprofessionnelle 52 (Employés civils et agents de service de la fonction publique)";
nbpna3112_cs53;"Nombre de postes non annexes au 31/12 pour la catégorie socioprofessionnelle 53 (Agents de surveillance)";
nbpna3112_cs54;"Nombre de postes non annexes au 31/12 pour la catégorie socioprofessionnelle 54 (Employés administratifs d'entreprise)";
nbpna3112_cs55;"Nombre de postes non annexes au 31/12 pour la catégorie socioprofessionnelle 55 (Employés de commerce)";
nbpna3112_cs56;"Nombre de postes non annexes au 31/12 pour la catégorie socioprofessionnelle 56 (Personnels des services directs aux particuliers)";
nbpna3112_cs62;"Nombre de postes non annexes au 31/12 pour la catégorie socioprofessionnelle 62 (Ouvriers qualifiés de type industriel)";
nbpna3112_cs63;"Nombre de postes non annexes au 31/12 pour la catégorie socioprofessionnelle 63 (Ouvriers qualifiés de type artisanal)";
nbpna3112_cs64;"Nombre de postes non annexes au 31/12 pour la catégorie socioprofessionnelle 64 (Chauffeurs)";
nbpna3112_cs65;"Nombre de postes non annexes au 31/12 pour la catégorie socioprofessionnelle 65 (Ouvriers qualifiés de la manutention, du magasinage et du transport)";
nbpna3112_cs67;"Nombre de postes non annexes au 31/12 pour la catégorie socioprofessionnelle 67 (Ouvriers non qualifiés de type industriel)";
nbpna3112_cs68;"Nombre de postes non annexes au 31/12 pour la catégorie socioprofessionnelle 68 (Ouvriers non qualifiés de type artisanal)";
nbpna3112_cs69;"Nombre de postes non annexes au 31/12 pour la catégorie socioprofessionnelle 69 (Ouvriers agricoles et assimilés)Nombre de postes non annexes au 31/12 pour la catégorie socioprofessionnelle 69 (Ouvriers agricoles et assimilés)";
nbpna3112_sexecs_11;"Nombre de postes non annexes au 31/12 pour sexe correspondant à 1 et catégorie socioprofessionnelle correspondant à 1";
nbpna3112_sexecs_12;"Nombre de postes non annexes au 31/12 pour sexe correspondant à 1 et catégorie socioprofessionnelle correspondant à 2";
nbpna3112_sexecs_13;"Nombre de postes non annexes au 31/12 pour sexe correspondant à 1 et catégorie socioprofessionnelle correspondant à 3";
nbpna3112_sexecs_14;"Nombre de postes non annexes au 31/12 pour sexe correspondant à 1 et catégorie socioprofessionnelle correspondant à 4";
nbpna3112_sexecs_15;"Nombre de postes non annexes au 31/12 pour sexe correspondant à 1 et catégorie socioprofessionnelle correspondant à 5";
nbpna3112_sexecs_16;"Nombre de postes non annexes au 31/12 pour sexe correspondant à 1 et catégorie socioprofessionnelle correspondant à 6";
nbpna3112_sexecs_21;"Nombre de postes non annexes au 31/12 pour sexe correspondant à 2 et catégorie socioprofessionnelle correspondant à 1";
nbpna3112_sexecs_22;"Nombre de postes non annexes au 31/12 pour sexe correspondant à 2 et catégorie socioprofessionnelle correspondant à 2";
nbpna3112_sexecs_23;"Nombre de postes non annexes au 31/12 pour sexe correspondant à 2 et catégorie socioprofessionnelle correspondant à 3";
nbpna3112_sexecs_24;"Nombre de postes non annexes au 31/12 pour sexe correspondant à 2 et catégorie socioprofessionnelle correspondant à 4";
nbpna3112_sexecs_25;"Nombre de postes non annexes au 31/12 pour sexe correspondant à 2 et catégorie socioprofessionnelle correspondant à 5";
nbpna3112_sexecs_26;"Nombre de postes non annexes au 31/12 pour sexe correspondant à 2 et catégorie socioprofessionnelle correspondant à 6";
nbpna3112_stg;"Nombre de postes non annexes au 31/12 avec un contrat stagiaire";
nbpna3112_ttp;"Nombre de postes non annexes au 31/12 avec un contrat intérim (travail temporaire)";
nic;"Numéro Interne de Classement de l’établissement : lieu de travail (donnée issue du répertoire Sirene)";
reg_siege;"Région de l'établissement siège";"Code région - <a href correspondant à 'https://www.insee.fr/fr/information/2560452' target correspondant à ""_blank""> cliquer ici</a>"
regt;"Région du lieu de travail";"Code région - <a href correspondant à 'https://www.insee.fr/fr/information/2560452' target correspondant à ""_blank""> cliquer ici</a>"
s_brut;"Salaire brut";
s_brut_eqtp_d_10;"1er décile par établissement du salaire brut par équivalent temps plein";
s_brut_eqtp_d_20;"2ème décile par établissement du salaire brut par équivalent temps plein";
s_brut_eqtp_d_30;"3ème décile par établissement du salaire brut par équivalent temps plein";
s_brut_eqtp_d_40;"4ème décile par établissement du salaire brut par équivalent temps plein";
s_brut_eqtp_d_50;"5ème décile par établissement du salaire brut par équivalent temps plein";
