Database,Table,Variable,Label,Type,Nomenclature
RA_2020,EXPLOITATIONS,UGBTA.POR,"UGB totaux, coef alimentation grossière, PORCINS",float64,
RA_2020,EXPLOITATIONS,UGBPAC.POR,"UGB totaux, coef PAC, PORCINS",float64,
RA_2020,EXPLOITATIONS,UGBIFS.POR,"UGB totaux, coef IFS (nouveau règlement Eurostat), PORCINS",float64,
RA_2020,EXPLOITATIONS,UGBTA.VOL,"UGB totaux, coef alimentation grossière, VOLAILLES",float64,
RA_2020,EXPLOITATIONS,UGBIFS.VOL,"UGB totaux, coef IFS (nouveau règlement Eurostat), VOLAILLES",float64,
RA_2020,EXPLOITATIONS,UGBAG.EQU,"UGB totaux, coef alimentation grossière, EQUIDES",float64,
RA_2020,EXPLOITATIONS,UGBTA.EQU,"UGB totaux, coef alimentation totale, EQUIDES",float64,
RA_2020,EXPLOITATIONS,UGBTA.LAP,"UGB totaux, coef alimentation totale, LAPINS",float64,
RA_2020,EXPLOITATIONS,UGBIFS.LAP,"UGB totaux, coef IFS (nouveau règlement Eurostat), LAPINS",float64,
RA_2020,EXPLOITATIONS,SAU_TOT,"Surface Agricole Utilisée Totale, comprenant toutes les surfaces de la table SAU. Non comptées : superficies en estives et en abattis (ventilées en différentes cultures)",float64,
RA_2020,EXPLOITATIONS,CEREALES_SUR_TOT,Surface totale de céréales ,float64,
RA_2020,EXPLOITATIONS,OLEAG_SUR_TOT,Surface totale d'oléagineux,float64,
RA_2020,EXPLOITATIONS,PROTEA_SUR_TOT,Surface totale de protéagineux et légumes secs,float64,
RA_2020,EXPLOITATIONS,FIBRE_SUR_TOT,Surface totale de plantes à fibre,float64,
RA_2020,EXPLOITATIONS,INDUST_SUR_TOT,Surface totale des autres plantes industrielles,float64,
RA_2020,EXPLOITATIONS,PPAM_SUR_TOT,Surface totale de PPAM,float64,
RA_2020,EXPLOITATIONS,TUBER_SUR_TOT,Surface totale de pommes de terre et autres tubercules,float64,
RA_2020,EXPLOITATIONS,LEGUME_SUR_TOT,"Surface totale de légumes, fraises et melons",float64,
RA_2020,EXPLOITATIONS,LEGUME_AIR_TOT,"Surfaces en légumes, plein air",float64,
RA_2020,EXPLOITATIONS,LEGUME_SERR_TOT,"Surfaces en légumes, sous serre ou abri haut",float64,
RA_2020,EXPLOITATIONS,FOUR_STH_SUR_TOT,Surface totale de cultures fourragères et STH,float64,
RA_2020,EXPLOITATIONS,STH_SUR_TOT,Surface Totale en herbe,float64,
RA_2020,EXPLOITATIONS,HORTI_SUR_TOT,Surface totale de fleurs et plantes ornementales,float64,
RA_2020,EXPLOITATIONS,HORTI_AIR_TOT,Surface de cultures ornementales plein air ou abri bas,float64,
RA_2020,EXPLOITATIONS,HORTI_SERR_TOT,Surface de cultures ornementales sous serre ou abri haut,float64,
RA_2020,EXPLOITATIONS,AUTRES_SUR_TOT,"Surface totale en « autres » (jachères, semences, abattis, jardins familiaux)",float64,
RA_2020,EXPLOITATIONS,VIGNE_SUR_TOT,Surface totale en vigne,float64,
RA_2020,EXPLOITATIONS,FRUITS_SUR_TOT,Surface totale en fruits,float64,
RA_2020,EXPLOITATIONS,AUT_PERM_SUR_TOT,Surface totale autres cultures permanentes,float64,
RA_2020,EXPLOITATIONS,ESTIVE_TOT,"Superficie totale utilisée en estive, au prorata de l'utilisation de l'estive, non comptée en SAU totale
(ESTIVE_GRAPH_PT+ESTIVE_GRAPH_PPprod+ESTIVE_ADM_PPpeuprod+ESTIVE_ADM_BP)",float64,
RA_2020,EXPLOITATIONS,JARDIN_MAHORAIS_ABATTIS,"Surface de l'exploitation en jardin mahorais ou abattis, ventilée dans les différentes cultures réalisées",float64,
RA_2020,EXPLOITATIONS,CAPITAL_W,Capital détenu par les personnes travaillant sur l'exploitation,float64,
RA_2020,EXPLOITATIONS,CAPITAL_HORSW_FAM,Capital détenu par membres de la famille ne travaillant pas sur l'exploitation,float64,
RA_2020,EXPLOITATIONS,CAPITAL_HORW_HORSFAM,Capital détenu par des non membres de la famille ne travaillant pas sur l'exploitation ,float64,
RA_2020,EXPLOITATIONS,CAPITAL_PERSPHY,Total du capital détenu par des personnes physiques qui ne travaillent pas sur l'exploitation,float64,
RA_2020,EXPLOITATIONS,CAPITAL_PERSMOR,Capital détenu par des personnes morales,float64,
RA_2020,EXPLOITATIONS,CAPITAL_TOTAL,Total du capital réparti par détenteurs,float64,
RA_2020,EXPLOITATIONS,AUTRENTITE_FIL,Existence d'une autre entité juridique dans le prolongement de l'exploitation,float64,
RA_2020,EXPLOITATIONS,AUTRENTITE_NB,"Si oui, nombre d'entreprises concernées",float64,
RA_2020,EXPLOITATIONS,AUTRENTITE_PROD,Production agricole,float64,
RA_2020,EXPLOITATIONS,AUTRENTITE_NEGOCE,"Négoce, commercialisation",float64,
RA_2020,EXPLOITATIONS,AUTRENTITE_EMPLOI,Gestion de l'emploi agricole,float64,
RA_2020,EXPLOITATIONS,AUTRENTITE_IMMO,Entreprise de biens fonciers ou immobiliers,float64,
RA_2020,EXPLOITATIONS,AUTRENTITE_AUTRE,Autre,float64,
RA_2020,EXPLOITATIONS,BIO_FIL,Certification ou conversion en agriculture biologique,float64,
RA_2020,EXPLOITATIONS,BIO_ANNEECONV,"Si oui, année de première conversion",string,
RA_2020,EXPLOITATIONS,BIO_INTEGRAL,"Si oui, exploitation conduite intégralement AB",float64,
RA_2020,EXPLOITATIONS,LABEL,Présence de produits Label Rouge,float64,
RA_2020,EXPLOITATIONS,AOC,Présence de produits  AOP ou AOC,float64,
RA_2020,EXPLOITATIONS,IGP,Présence de produits IGP,float64,
RA_2020,EXPLOITATIONS,STG,Présence de produits STG,float64,
RA_2020,EXPLOITATIONS,QUALCA_ECH,Part de la commercialisation sous LR AOP AOC IGP ou STG,string,EXPLOITATIONS__QUALCA_ECH
RA_2020,EXPLOITATIONS,AUTREDEM_FIL,L'exploitation est engagée dans une autre démarche de qualité ou autre démarche environnementale,float64,
RA_2020,EXPLOITATIONS,BIODYNAMIE,"Agriculture biodynamique (Démeter, Biodyvin…)",float64,
RA_2020,EXPLOITATIONS,NATUREPROGRES,Nature et Progrès,float64,
RA_2020,EXPLOITATIONS,HVE,Certification Haute Valeur Environnementale,float64,
RA_2020,EXPLOITATIONS,GIEE,Groupement d'Intérêt Economique et Environnemental,float64,
RA_2020,EXPLOITATIONS,DEPHY,Ferme Dephy,float64,
RA_2020,EXPLOITATIONS,AUTRE,Autre démarche de qualité ou environnementale,float64,
RA_2020,EXPLOITATIONS,AUTRE_DETAIL,"Autre démarche de qualité ou environnementale, détail",string,
RA_2020,EXPLOITATIONS,TRANSFOFIL,Réalisation de transformation de produits agricoles,float64,
RA_2020,EXPLOITATIONS,CIRCOUFIL,Commercialisation eu circuit court,float64,
RA_2020,EXPLOITATIONS,CIRCOU_COPFIL,"Produits céréaliers (meunerie, pains, pâtes, bières…) et oléagineux et légumes secs",float64,
RA_2020,EXPLOITATIONS,CIRCOU_TUBFIL_DOM,"Commercialisation en circuits courts, tubercules, DOM",float64,
RA_2020,EXPLOITATIONS,CIRCOU_LEGFIL,Légumes frais et transformés (y compris pomme de terre),float64,
RA_2020,EXPLOITATIONS,CIRCOU_VINFIL,"Vin, raisins, alcools issus de vins",float64,
RA_2020,EXPLOITATIONS,CIRCOU_HOLIFIL,Huile d'olive  et olives,float64,
RA_2020,EXPLOITATIONS,CIRCOU_FRUITFIL,Fruits frais et transformés,float64,
RA_2020,EXPLOITATIONS,CIRCOU_AUTRFIL,Autres produits agricoles (y compris cultures industrielles et produits horticoles),float64,
RA_2020,EXPLOITATIONS,CIRCOU_LAITFIL,Produits laitiers,float64,
RA_2020,EXPLOITATIONS,CIRCOU_OVOLFIL,Œufs et volailles,float64,
RA_2020,EXPLOITATIONS,CIRCOU_ANIMFIL,Animaux vivants et autres produits animaux (hors volailles),float64,
RA_2020,EXPLOITATIONS,CIRCOU_MIELFIL,Miel,float64,
RA_2020,EXPLOITATIONS,CONTRAT_COP_ECH,"Contrat écrit  produits céréaliers, oléagineux et légumes secs",float64,
RA_2020,EXPLOITATIONS,CONTRAT_TUB_DOM,"Contrat écrit transformation de tubercules (farine de manioc, etc)",float64,
RA_2020,EXPLOITATIONS,CONTRAT_LEG_ECH,Contrat écrit légumes frais et transformés,float64,
RA_2020,EXPLOITATIONS,CONTRAT_VIN_ECH,Contrat écrit vin,float64,
RA_2020,EXPLOITATIONS,CONTRAT_HOLI_ECH,Contrat écrit huile d'olive,float64,
RA_2020,EXPLOITATIONS,CONTRAT_FRUIT_ECH,Contrat écrit fruits frais et transformés,float64,
RA_2020,EXPLOITATIONS,CONTRAT_AUTR_ECH,Contrat écrit autres produits agricoles (y compris produits horticoles),float64,
RA_2020,EXPLOITATIONS,CONTRAT_LAIT_ECH,Contrat écrit produits laitiers,float64,
RA_2020,EXPLOITATIONS,CONTRAT_OVOL_ECH,Contrat écrit oeufs et volailles,float64,
RA_2020,EXPLOITATIONS,CONTRAT_ANIM_ECH,Contrat écrit animaux vivants et autres produits animaux,float64,
RA_2020,EXPLOITATIONS,CONTRAT_MIEL_ECH,Contrat écrit miel,float64,
RA_2020,EXPLOITATIONS,DIVTOTCA_ECH,Part des activités de diversification dans le CA,string,EXPLOITATIONS__DIVTOTCA_ECH
RA_2020,EXPLOITATIONS,CHEFREFIL,Référent chef d'exploitation,float64,
RA_2020,EXPLOITATIONS,REFANAIS,Année de naissance du référent,string,
RA_2020,EXPLOITATIONS,REFSEX,Sexe du référent,string,
RA_2020,EXPLOITATIONS,REFACTIVEXPL,Temps de travail annuel du référent sur l'exploitation,string,EXPLOITATIONS__REFACTIVEXPL
RA_2020,EXPLOITATIONS,EI_GESPRESTFIL,Exploitation individuelle - gestion courante assurée par un prestataire,float64,
RA_2020,EXPLOITATIONS,SOC_GESPRESTFIL,Formes sociétaires - gestion courante assurée par un prestataire,float64,
RA_2020,EXPLOITATIONS,NBSEMPLUS60_ECH,Nombre de semaines de plus de 60 heures,float64,
RA_2020,EXPLOITATIONS,NBSEMOINS30_ECH,Nombre de semaines de moins de 30 heures,float64,
RA_2020,EXPLOITATIONS,NBWEEKAN_ECH,Nombre de week-end libérés par an,float64,
RA_2020,EXPLOITATIONS,NBCONGAN_ECH,Nombre de congés,float64,
RA_2020,EXPLOITATIONS,MOPFAMFIL_ECH,Emploi de la main d'oeuvre familiale de manière permanente,float64,
RA_2020,EXPLOITATIONS,MOPNFAMFIL_ECH,Emploi de la main d'oeuvre non familiale de manière permanente,float64,
RA_2020,EXPLOITATIONS,MONF_F_DIR25_ECH,MOP non familiale féminine employée directement travaillant moins d'un quart de temps,float64,
RA_2020,EXPLOITATIONS,MONF_F_DIR25_50_ECH,MOP non familiale féminine employée directement travaillant d'un quart à moins d'un mi-temps,float64,
RA_2020,EXPLOITATIONS,MONF_F_DIR50_ECH,MOP non familiale féminine employée directement travaillant un mi-temps,float64,
RA_2020,EXPLOITATIONS,MONF_F_DIR50_75_ECH,MOP non familiale féminine employée directement travaillant plus d'un mi-temps à moins de 3/4 temps,float64,
RA_2020,EXPLOITATIONS,MONF_F_DIR75_100_ECH,MOP non familiale féminine employée directement travaillant de 3/4 de temps à moins de 100 %,float64,
RA_2020,EXPLOITATIONS,MONF_F_DIR100_ECH,MOP non familiale féminine employée directement travaillant à temps complet,float64,
RA_2020,EXPLOITATIONS,MONF_M_DIR25_ECH,MOP non familiale masculine employée directement travaillant moins d'un quart de temps,float64,
RA_2020,EXPLOITATIONS,MONF_M_DIR25_50_ECH,MOP non familiale masculine employée directement travaillant d'un quart à moins d'un mi-temps,float64,
RA_2020,EXPLOITATIONS,MONF_M_DIR50_ECH,MOP non familiale masculine employée directement travaillant un mi-temps,float64,
RA_2020,EXPLOITATIONS,MONF_M_DIR50_75_ECH,MOP non familiale masculine employée directement travaillant plus d'un mi-temps à moins de 3/4 temps,float64,
RA_2020,EXPLOITATIONS,MONF_M_DIR75_100_ECH,MOP non familiale masculine employée directement travaillant de 3/4 de temps à moins de 100 %,float64,
RA_2020,EXPLOITATIONS,MONF_M_DIR100_ECH,MOP non familiale masculine employée directement travaillant à temps complet,float64,
RA_2020,EXPLOITATIONS,MONF_F_TIER25_ECH,MOP non familiale féminine employée par un tiers travaillant moins d'un quart de temps,float64,
RA_2020,EXPLOITATIONS,MONF_F_TIER25_50_ECH,MOP non familiale féminine employée par un tiers travaillant d'un quart à moins d'un mi-temps,float64,
RA_2020,EXPLOITATIONS,MONF_F_TIER50_ECH,MOP non familiale féminine employée  par un tiers travaillant un mi-temps,float64,
RA_2020,EXPLOITATIONS,MONF_F_TIER50_75_ECH,MOP non familiale féminine employée par un tiers travaillant plus d'un mi-temps à moins de 3/4 temps,float64,
RA_2020,EXPLOITATIONS,MONF_F_TIER75_100_ECH,MOP non familiale féminine employée par un tiers travaillant de 3/4 de temps à moins de 100 %,float64,
RA_2020,EXPLOITATIONS,MONF_F_TIER100_ECH,MOP non familiale féminine employée par un tiers travaillant à temps complet,float64,
RA_2020,EXPLOITATIONS,MONF_M_TIER25_ECH,MOP non familiale masculine employée par un tiers travaillant moins d'un quart de temps,float64,
RA_2020,EXPLOITATIONS,MONF_M_TIER25_50_ECH,MOP non familiale masculine employée par un tiers travaillant d'un quart à moins d'un mi-temps,float64,
RA_2020,EXPLOITATIONS,MONF_M_TIER50_ECH,MOP non familiale masculine employée par un tiers travaillant un mi-temps,float64,
RA_2020,EXPLOITATIONS,MONF_M_TIER50_75_ECH,MOP non familiale masculine employée par un tiers travaillant plus d'un mi-temps à moins de 3/4 tps,float64,
RA_2020,EXPLOITATIONS,MONF_M_TIER75_100_ECH,MOP non familiale masculine employée par un tiers travaillant de 3/4 de temps à moins de 100 %,float64,
RA_2020,EXPLOITATIONS,MONF_M_TIER100_ECH,MOP non familiale masculine employée par un tiers travaillant à temps complet,float64,
RA_2020,EXPLOITATIONS,MONF_ACTDIV_PRINC_ECH,MOP non familiale participant aux activités de diversification à titre principal,float64,
RA_2020,EXPLOITATIONS,MONF_ACTDIV_SEC_ECH,MOP non familiale participant aux activités de diversification à titre secondaire,float64,
RA_2020,EXPLOITATIONS,MOF_SAL_25,MOP familiale salariée travaillant moins d'un quart de temps,float64,
RA_2020,EXPLOITATIONS,MOF_SAL_25_50,MOP familiale salariée travaillant d'un quart à moins d'un mi-temps,float64,
RA_2020,EXPLOITATIONS,MOF_SAL_50,MOP familiale salariée travaillant un mi-temps,float64,
RA_2020,EXPLOITATIONS,MOF_SAL_50_75,MOP familiale salariée travaillant de plus d'un mi-temps et moins de 3/4 temps,float64,
RA_2020,EXPLOITATIONS,MOF_SAL_75_100,MOP familiale salariée travaillant de 3/4 de temps à moins d'un temps complet,float64,
RA_2020,EXPLOITATIONS,MOF_SAL_100,MOP familiale salariée travaillant à temps complet,float64,
RA_2020,EXPLOITATIONS,MOF_SAL_TOT,MOP familiale salariée total,float64,
RA_2020,EXPLOITATIONS,MOF_NSAL_25,MOP familiale non salariée travaillant moins d'un quart de temps,float64,
RA_2020,EXPLOITATIONS,MOF_NSAL_25_50,MOP familiale non salariée travaillant d'un quart à moins d'un mi-temps,float64,
RA_2020,EXPLOITATIONS,MOF_NSAL_50,MOP familiale non salariée travaillant un mi-temps,float64,
RA_2020,EXPLOITATIONS,MOF_NSAL_50_75,MOP familiale non salariée travaillant de plus d'un mi-temps et moins de 3/4 temps,float64,
RA_2020,EXPLOITATIONS,MOF_NSAL_75_100,MOP familiale non salariée travaillant de 3/4 de temps à moins d'un temps complet,float64,
RA_2020,EXPLOITATIONS,MOF_NSAL_100,MOP familiale non salariée travaillant à temps complet,float64,
RA_2020,EXPLOITATIONS,MOF_NSAL_TOT,MOP familiale non salariée total,float64,
RA_2020,EXPLOITATIONS,MONF_25,MOP non familiale travaillant moins d'un quart de temps,float64,
RA_2020,EXPLOITATIONS,MONF_25_50,MOP non familiale travaillant d'un quart à moins d'un mi-temps,float64,
RA_2020,EXPLOITATIONS,MONF_50,MOP non familiale travaillant un mi-temps,float64,
RA_2020,EXPLOITATIONS,MONF_50_75,MOP non familiale travaillant de plus d'un mi-temps et moins de 3/4 temps,float64,
RA_2020,EXPLOITATIONS,MONF_75_100,MOP non familiale travaillant de 3/4 de temps à moins d'un temps complet,float64,
RA_2020,EXPLOITATIONS,MONF_100,MOP familiale non salariée travaillant à temps complet,float64,
RA_2020,EXPLOITATIONS,MONF_TOT,MOP non familiale total,float64,
RA_2020,EXPLOITATIONS,NB_SAISON,MOC - nombre de personnes ayant travaillé de manière occasionnelle ou saisonnière,float64,
RA_2020,EXPLOITATIONS,NBCEXCOEX,Nombre de chef et coexploitants de l'exploitation,float64,
RA_2020,EXPLOITATIONS,SAISON_HEUR_DIR_ECH,MOC - nombre d'heures - personnes employées directement,float64,
RA_2020,EXPLOITATIONS,SAISON_JOUR_DIR_ECH,MOC - nombre de jours - personnes employées directement,float64,
RA_2020,EXPLOITATIONS,SAISON_SEM_DIR_ECH,MOC - nombre de semaines - personnes employées directement,float64,
RA_2020,EXPLOITATIONS,SAISON_MOIS_DIR_ECH,MOC - nombre de mois - personnes employées directement,float64,
RA_2020,EXPLOITATIONS,SAISON_HEUR_TIER_ECH,MOC - nombre d'heures - personnes employées par un tiers,float64,
RA_2020,EXPLOITATIONS,SAISON_JOUR_TIER_ECH,MOC - nombre de jours - personnes employées par un tiers,float64,
RA_2020,EXPLOITATIONS,SAISON_SEM_TIER_ECH,MOC - nombre de semaines - personnes employées par un tiers,float64,
RA_2020,EXPLOITATIONS,SAISON_MOIS_TIER_ECH,MOC - nombre de mois - personnes employées par un tiers,float64,
RA_2020,EXPLOITATIONS,SAISON_HEUR,MOC - nombre d'heures,float64,
RA_2020,EXPLOITATIONS,SAISON_JOUR,MOC - nombre de jours,float64,
RA_2020,EXPLOITATIONS,SAISON_SEM,MOC - nombre de semaines,float64,
RA_2020,EXPLOITATIONS,SAISON_MOIS,MOC - nombre de mois,float64,
RA_2020,EXPLOITATIONS,EXTERNALISFIL,Recours à des prestations de service,float64,
RA_2020,EXPLOITATIONS,EXTPRESTA1,Externalisation : ensemble des travaux de toutes les productions végétales,float64,
RA_2020,EXPLOITATIONS,EXTPRESTA2,Externalisation : ensemble des travaux de certaines productions végétales,float64,
